bitness,image,status,in_bytes,jls_bytes
8,usc-misc_4.1.01.pgm,pass,65536,33816
8,usc-misc_4.1.02.pgm,pass,65536,30014
8,usc-misc_4.1.03.pgm,pass,65536,26345
8,usc-misc_4.1.04.pgm,pass,65536,30545
8,usc-misc_4.1.05.pgm,pass,65536,31603
8,usc-misc_4.1.06.pgm,pass,65536,39998
8,usc-misc_4.1.07.pgm,pass,65536,18099
8,usc-misc_4.1.08.pgm,pass,65536,21181
8,usc-misc_5.1.09.pgm,pass,65536,41633
8,usc-misc_5.1.10.pgm,pass,65536,46693
8,usc-misc_5.1.11.pgm,pass,65536,25984
8,usc-misc_5.1.12.pgm,pass,65536,28749
8,usc-misc_5.1.13.pgm,pass,65536,8607
8,usc-misc_5.1.14.pgm,pass,65536,42216
8,usc-sequences_6.1.01.pgm,pass,65536,24188
8,usc-sequences_6.1.02.pgm,pass,65536,23884
8,usc-sequences_6.1.03.pgm,pass,65536,24002
8,usc-sequences_6.1.04.pgm,pass,65536,23975
8,usc-sequences_6.1.05.pgm,pass,65536,24047
8,usc-sequences_6.1.06.pgm,pass,65536,23847
8,usc-sequences_6.1.07.pgm,pass,65536,23774
8,usc-sequences_6.1.08.pgm,pass,65536,23723
8,usc-sequences_6.1.09.pgm,pass,65536,23866
8,usc-sequences_6.1.10.pgm,pass,65536,23722
8,usc-sequences_6.1.11.pgm,pass,65536,23917
8,usc-sequences_6.1.12.pgm,pass,65536,23825
8,usc-sequences_6.1.13.pgm,pass,65536,23821
8,usc-sequences_6.1.14.pgm,pass,65536,23790
8,usc-sequences_6.1.15.pgm,pass,65536,23771
8,usc-sequences_6.1.16.pgm,pass,65536,23991
8,usc-sequences_6.2.01.pgm,pass,65536,41032
8,usc-sequences_6.2.02.pgm,pass,65536,40582
8,usc-sequences_6.2.03.pgm,pass,65536,42623
8,usc-sequences_6.2.04.pgm,pass,65536,40798
8,usc-sequences_6.2.05.pgm,pass,65536,41049
8,usc-sequences_6.2.06.pgm,pass,65536,41432
8,usc-sequences_6.2.07.pgm,pass,65536,41520
8,usc-sequences_6.2.08.pgm,pass,65536,41712
8,usc-sequences_6.2.09.pgm,pass,65536,40953
8,usc-sequences_6.2.10.pgm,pass,65536,41914
8,usc-sequences_6.2.11.pgm,pass,65536,42310
8,usc-sequences_6.2.12.pgm,pass,65536,41990
8,usc-sequences_6.2.13.pgm,pass,65536,42013
8,usc-sequences_6.2.14.pgm,pass,65536,42114
8,usc-sequences_6.2.15.pgm,pass,65536,42412
8,usc-sequences_6.2.16.pgm,pass,65536,42216
8,usc-sequences_6.2.17.pgm,pass,65536,41637
8,usc-sequences_6.2.18.pgm,pass,65536,41111
8,usc-sequences_6.2.19.pgm,pass,65536,43181
8,usc-sequences_6.2.20.pgm,pass,65536,41245
8,usc-sequences_6.2.21.pgm,pass,65536,41561
8,usc-sequences_6.2.22.pgm,pass,65536,41899
8,usc-sequences_6.2.23.pgm,pass,65536,41924
8,usc-sequences_6.2.24.pgm,pass,65536,42103
8,usc-sequences_6.2.25.pgm,pass,65536,41215
8,usc-sequences_6.2.26.pgm,pass,65536,42142
8,usc-sequences_6.2.27.pgm,pass,65536,42554
8,usc-sequences_6.2.28.pgm,pass,65536,42171
8,usc-sequences_6.2.29.pgm,pass,65536,42185
8,usc-sequences_6.2.30.pgm,pass,65536,42219
8,usc-sequences_6.2.31.pgm,pass,65536,42478
8,usc-sequences_6.2.32.pgm,pass,65536,42216
8,usc-sequences_6.3.01.pgm,pass,65536,43363
8,usc-sequences_6.3.02.pgm,pass,65536,46396
8,usc-sequences_6.3.03.pgm,pass,65536,46448
8,usc-sequences_6.3.04.pgm,pass,65536,46038
8,usc-sequences_6.3.05.pgm,pass,65536,45874
8,usc-sequences_6.3.06.pgm,pass,65536,45745
8,usc-sequences_6.3.07.pgm,pass,65536,45585
8,usc-sequences_6.3.08.pgm,pass,65536,45486
8,usc-sequences_6.3.09.pgm,pass,65536,45267
8,usc-sequences_6.3.10.pgm,pass,65536,46036
8,usc-sequences_6.3.11.pgm,pass,65536,45916
8,usc-aerials_2.1.01.pgm,pass,262144,194902
8,usc-aerials_2.1.02.pgm,pass,262144,204594
8,usc-aerials_2.1.03.pgm,pass,262144,140474
8,usc-aerials_2.1.04.pgm,pass,262144,193326
8,usc-aerials_2.1.05.pgm,pass,262144,167663
8,usc-aerials_2.1.06.pgm,pass,262144,183913
8,usc-aerials_2.1.07.pgm,pass,262144,155705
8,usc-aerials_2.1.08.pgm,pass,262144,150800
8,usc-aerials_2.1.09.pgm,pass,262144,144919
8,usc-aerials_2.1.10.pgm,pass,262144,172065
8,usc-aerials_2.1.11.pgm,pass,262144,153533
8,usc-aerials_2.1.12.pgm,pass,262144,165481
8,usc-misc_4.2.01.pgm,pass,262144,118900
8,usc-misc_4.2.03.pgm,pass,262144,197863
